Titles,Rating,RTCritic,RTFan,IMDb,Metacritic,BoxOffice,Year,Action,Animation,Family,Scifi,Comedy,Drama,International,Romance,Horror,Mystery,Documentary
Treasure Planet,PG,69,70,7.1,60,38120554,2002,1,1,1,1,0,0,0,0,0,0,0
About Schmidt,R,85,74,7.2,85,65005217,2002,0,0,0,0,1,1,0,0,0,0,0
Secretary,R,76,82,7,63,4046737,2002,0,0,0,0,1,1,1,1,0,0,0
Irreversible,NR,57,80,7.4,51,792200,2002,0,0,0,0,0,1,1,0,0,0,0
Big Trouble,PG13,48,54,6.5,47,7262288,2002,0,0,0,0,1,1,0,0,0,0,0
Resident Evil,R,34,67,6.7,33,40119709,2002,1,0,0,0,0,0,0,0,1,1,0
Panic Room,R,76,63,6.8,65,95308367,2002,0,0,0,0,0,1,0,0,0,1,0
Die Another Day,PG13,58,41,6.1,58,160942139,2002,1,0,0,0,0,0,0,0,0,1,0
Life or Something Like It,PG13,28,44,5.8,31,14448589,2002,0,0,0,0,1,0,0,1,0,0,0
Martin Lawrence Live: Runteldat,R,39,70,5.4,40,19184820,2002,0,0,0,0,1,0,0,0,0,0,0
Star Wars: Episode II - Attack of the Clones,PG,66,57,6.6,54,310676740,2002,0,0,0,1,0,0,0,0,0,0,0
Big Fat Liar,PG,42,44,5.4,36,47811275,2002,0,0,1,0,1,0,0,0,0,0,0
Men in Black II,PG13,39,45,6.1,49,190418803,2002,0,0,0,1,1,0,0,0,0,0,0
Narc,R,84,79,7.2,70,10465659,2002,1,0,0,0,0,1,0,0,0,1,0
Catch Me If You Can,PG13,96,89,8.1,76,164606800,2002,1,0,0,0,0,1,0,0,0,0,0
Out of Time,PG13,65,58,6.5,63,41083108,2003,1,0,0,0,0,1,0,0,0,1,0
Duplex,PG13,35,40,5.9,50,9652000,2003,0,0,0,0,1,0,0,0,0,0,0
Freddy vs. Jason,R,41,50,5.8,37,82622655,2003,0,0,0,0,0,0,0,0,1,1,0
The Haunted Mansion,PG,13,30,4.9,34,75817994,2003,0,0,1,1,1,0,0,0,1,1,0
21 Grams,R,81,86,7.7,70,16248701,2003,0,0,0,0,0,1,0,0,0,0,0
Pirates of the Caribbean: The Curse of the Black Pearl,PG13,79,86,8,63,305411224,2003,1,0,0,1,0,0,0,0,0,0,0
Hollywood Homicide,PG13,30,27,5.3,47,30207785,2003,1,0,0,0,1,0,0,0,0,0,0
Shattered Glass,PG13,91,79,7.2,73,2207975,2003,0,0,0,0,0,1,0,0,0,0,0
X2,PG13,86,85,7.5,68,214949694,2003,1,0,0,1,0,0,0,0,0,0,0
The Jungle Book 2,G,19,30,5.4,38,47901582,2003,0,1,1,0,0,0,0,0,0,0,0
Chasing Papi,PG,14,39,4.8,33,6126237,2003,0,0,0,0,1,0,0,0,0,0,0
Big Fish,PG13,77,89,8,58,66432867,2003,0,0,0,0,1,1,0,0,0,0,0
The Rundown,PG13,70,66,6.7,59,47641743,2003,1,0,0,0,1,0,0,0,0,0,0
The Hunted,R,29,47,6,40,34234008,2003,1,0,0,0,0,0,0,0,0,1,0
My Life Without Me,R,65,87,7.6,57,432360,2003,0,0,0,0,0,1,0,1,0,0,0
Connie and Carla,PG13,44,70,6.3,44,8047525,2004,0,0,0,0,1,0,0,0,0,0,0
The Punisher,R,29,63,6.5,33,33664370,2004,1,0,0,0,0,1,0,0,0,0,0
The Cookout,PG13,5,37,3.6,15,11540112,2004,0,0,0,0,1,0,0,0,0,0,0
Along Came Polly,PG13,25,47,5.9,44,88073507,2004,0,0,0,0,1,1,0,1,0,0,0
Team America: World Police,R,77,80,7.2,64,32774834,2004,0,0,0,0,1,1,0,0,0,0,0
EuroTrip,R,46,75,6.6,45,17718223,2004,0,0,0,0,1,0,0,0,0,0,0
Harry Potter and the Prisoner of Azkaban,PG,91,86,7.8,82,249538952,2004,0,0,1,1,0,0,0,0,0,0,0
Hidalgo,PG13,47,64,6.7,54,67286731,2004,1,0,0,0,0,0,0,0,0,0,0
The Alamo,PG13,29,45,6,47,22406362,2004,1,0,0,0,0,1,0,0,0,0,0
Ocean's Twelve,PG13,55,60,6.5,58,125531634,2004,1,0,0,0,1,1,0,0,0,0,0
After the Sunset,PG13,18,52,6.3,38,28328132,2004,1,0,0,0,1,1,0,0,0,0,0
Catwoman,PG13,9,18,3.3,27,40202379,2004,1,0,0,0,0,1,0,0,0,0,0
The Sea Inside,PG13,84,92,8,74,2086345,2004,0,0,0,0,0,1,1,0,0,0,0
The Bourne Supremacy,PG13,81,90,7.8,73,176087450,2004,1,0,0,0,0,1,0,0,0,1,0
The Life Aquatic with Steve Zissou,R,56,82,7.3,62,24006726,2004,1,0,0,0,1,1,0,0,0,0,0
White Noise,PG13,8,31,5.5,30,56094360,2005,0,0,0,0,0,1,0,0,1,1,0
Sin City,R,78,78,8,74,74103820,2005,1,0,0,0,0,1,0,0,0,1,0
