title,bechdel,domgross,intgross
21 &amp; Over,FAIL,25682380,42195766
Dredd 3D,PASS,13414714,40868994
12 Years a Slave,FAIL,53107035,158607035
2 Guns,FAIL,75612460,132493015
42,FAIL,95020213,95020213
47 Ronin,FAIL,38362475,145803842
A Good Day to Die Hard,FAIL,67349198,304249198
About Time,PASS,15323921,87324746
Admission,PASS,18007317,18007317
After Earth,FAIL,60522097,244373198
American Hustle,PASS,148430908,249484909
August: Osage County,PASS,37304874,50304874
Beautiful Creatures,PASS,19452138,55940671
Blue Jasmine,PASS,33345833,68447831
Captain Phillips,FAIL,107136417,218743570
Carrie,PASS,35266619,85001659
Cloudy with a Chance of Meatballs 2,FAIL,119640264,271725448
Despicable Me 2,PASS,368065385,970766005
Don Jon,FAIL,24477704,26377704
Elysium,PASS,93050117,286192091
Ender&#39;s Game,FAIL,61737191,89737191
Epic,PASS,107518682,268418682
Escape from Planet Earth,PASS,57012977,66454811
Escape Plan,FAIL,25213103,103813103
Evil Dead,PASS,54239856,97402049
Fast and Furious 6,PASS,238679850,788128122
Frozen,PASS,393050114,1004550114
G.I. Joe: Retaliation,PASS,122523060,371923060
Gangster Squad,FAIL,46000903,104100903
Gloria,PASS,4167493,4967493
Gravity,FAIL,271814796,708714796
Grown Ups 2,FAIL,133668525,247023808
Hansel &amp; Gretel: Witch Hunters,PASS,55703475,225703475
Her,FAIL,25000178,33029713
Identity Thief,FAIL,134506920,176269721
Insidious: Chapter 2,FAIL,83586447,161911222
Iron Man 3,FAIL,408992272,1212692272
Jack the Giant Slayer,FAIL,65187603,197387603
Kick-Ass 2,PASS,28795985,60839197
Last Vegas,FAIL,63914167,112914167
Lee Daniels&#39; The Butler,PASS,116632095,151513429
Machete Kills,PASS,8008161,9408161
Mama,PASS,71628180,148041253
Man of Steel,PASS,291045518,687999518
Nebraska,PASS,17482517,17482517
Now You See Me,FAIL,117723989,351723989
Oblivion,FAIL,89107235,287537983
Olympus Has Fallen,FAIL,98927592,150562164
Oz the Great and Powerful,PASS,234770996,489570996
Pacific Rim,FAIL,101802906,411002906
Pain &amp; Gain,FAIL,49875291,81275291
Parker,PASS,17616641,46346651
Peeples,FAIL,9177065,9177065
Percy Jackson: Sea of Monsters,PASS,68559554,200859554
Prisoners,PASS,61002302,113402302
R.I.P.D.,FAIL,33618855,79019947
Red 2,PASS,53262560,137162560
Riddick,FAIL,42025135,92425135
Runner Runner,FAIL,19316646,62616646
Rush,FAIL,26947624,43047624
Safe Haven,PASS,71399120,93943623
Saving Mr. Banks,PASS,82834332,100734332
Side Effects,PASS,32172757,60288363
Star Trek Into Darkness,FAIL,228778661,466978661
Texas Chainsaw 3D,PASS,34341945,39093317
