,title,budget,popularity,production_companies,release_date,revenue,runtime,status,tagline,vote_average,vote_count
0,Toy Story,30000000,21.946943,"[{'name': 'Pixar Animation Studios', 'id': 3}]",1995-10-30,373554033.0,81.0,Released,,7.7,5415.0
1,Jumanji,65000000,17.015539,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Teitler Film', 'id': 2550}, {'name': 'Interscope Communications', 'id': 10201}]",1995-12-15,262797249.0,104.0,Released,Roll the dice and unleash the excitement!,6.9,2413.0
3,Waiting to Exhale,16000000,3.859495,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]",1995-12-22,81452156.0,127.0,Released,Friends are the people who let you be yourself... and never let you forget it.,6.1,34.0
5,Heat,60000000,17.924927,"[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'Forward Pass', 'id': 675}, {'name': 'Warner Bros.', 'id': 6194}]",1995-12-15,187436818.0,170.0,Released,A Los Angeles Crime Saga,7.7,1886.0
6,Sabrina,58000000,6.677277,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Scott Rudin Productions', 'id': 258}, {'name': 'Mirage Enterprises', 'id': 932}, {'name': 'Sandollar Productions', 'id': 5842}, {'name': 'Constellation Entertainment', 'id': 14941}, {'name': 'Worldwide', 'id': 55873}, {'name': 'Mont Blanc Entertainment GmbH', 'id': 58079}]",1995-12-15,0.0,127.0,Released,You are cordially invited to the most surprising merger of the year.,6.2,141.0
8,Sudden Death,35000000,5.23158,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Imperial Entertainment', 'id': 21437}, {'name': 'Signature Entertainment', 'id': 23770}]",1995-12-22,64350171.0,106.0,Released,Terror goes into overtime.,5.5,174.0
9,GoldenEye,58000000,14.686036,"[{'name': 'United Artists', 'id': 60}, {'name': 'Eon Productions', 'id': 7576}]",1995-11-16,352194034.0,130.0,Released,No limits. No fears. No substitutes.,6.6,1194.0
10,The American President,62000000,6.318445,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}]",1995-11-17,107879496.0,106.0,Released,Why can't the most powerful man in the world have the one thing he wants most?,6.5,199.0
13,Nixon,44000000,5.092,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Cinergi Pictures Entertainment', 'id': 1504}]",1995-12-22,13681765.0,192.0,Released,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",7.1,72.0
14,Cutthroat Island,98000000,7.284477,"[{'name': 'Le Studio Canal+', 'id': 183}, {'name': 'Laurence Mark Productions', 'id': 415}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Carolco Pictures', 'id': 14723}]",1995-12-22,10017322.0,119.0,Released,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,5.7,137.0
