,Title,Rating,RTCritic,RTFan,IMDb,Metacritic,BoxOffice,Year,Action,Animation,Family,Scifi,Comedy,Drama,Romance,Horror,Mystery,title,budget,popularity,production_companies,release_date,revenue,runtime,status,tagline,vote_average,vote_count,allFans,allCritics,aggregate_rating,profit_pct,profit_margin
0,Treasure Planet,PG,69,70,71.0,60,50.70033682,2002,1,1,1,1,0,0,0,0,0,Treasure Planet,186.2,16.141913,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Walt Disney Feature Animation', 'id': 10217}]",2002-11-26,109578115.0,95.0,Released,Find your place in the universe.,7.2,980.0,70.5,64.5,67.5,0.2722896714285714,-2.6725594281762013
1,About Schmidt,R,85,74,72.0,85,86.45693861,2002,0,0,0,0,1,1,0,0,0,About Schmidt,39.9,11.066473,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Avery Pix', 'id': 1565}]",2002-12-13,105834556.0,125.0,Released,Schmidt Happens,6.7,365.0,73.0,85.0,79.0,2.1668405666666666,0.538498579275568
2,Secretary,R,76,82,70.0,63,5.38216021,2002,0,0,0,0,1,1,1,0,0,Secretary,5.32,10.936827,"[{'name': 'Slough Pond', 'id': 4730}, {'name': 'double A Films', 'id': 4731}]",2002-01-11,9304609.0,104.0,Released,Assume the position.,6.8,378.0,76.0,69.5,72.75,1.01168425,0.01154930503267201
3,Big Trouble,PG13,48,54,65.0,47,9.65884304,2002,0,0,0,0,1,1,0,0,0,Big Trouble,53.2,5.761051,"[{'name': 'Touchstone Pictures', 'id': 9195}]",2002-04-05,8493890.0,85.0,Released,They have forty-five minutes to save the world. They need forty-six.,6.3,82.0,59.5,47.5,53.5,0.1815572,-4.507906048341789
4,Resident Evil,R,34,67,67.0,33,53.35921297000001,2002,1,0,0,0,0,0,0,1,1,Resident Evil,43.89,7.781293,"[{'name': 'Impact Pictures', 'id': 248}, {'name': 'Davis-Films', 'id': 342}, {'name': 'New Legacy', 'id': 939}, {'name': 'Constantin Film Produktion', 'id': 5755}]",2002-03-15,102984862.0,100.0,Released,A secret experiment. A deadly virus. A fatal mistake.,6.4,2100.0,67.0,33.5,50.25,1.2157487575757577,0.1774616311399468
5,Panic Room,R,76,63,68.0,65,126.76012811,2002,0,0,0,0,0,1,0,0,1,Panic Room,63.84,14.969502,"[{'name': 'Hofflund/Polone', 'id': 1685}, {'name': 'Indelible Productions', 'id': 7795}]",2002-03-29,196397415.0,111.0,Released,,6.6,1303.0,65.5,70.5,68.0,1.9855909791666666,0.4963716039747066
6,Die Another Day,PG13,58,41,61.0,58,214.05304487,2002,1,0,0,0,0,0,0,0,1,Die Another Day,186.2,12.996474,"[{'name': 'Eon Productions', 'id': 7576}]",2002-11-17,431971116.0,133.0,Released,He’s never been cooler.,5.8,1112.0,51.0,58.0,54.5,1.1495867071428572,0.13012216148065495
7,Life or Something Like It,PG13,28,44,58.0,31,19.21662337,2002,0,0,0,0,1,0,1,0,0,Life or Something Like It,53.2,6.332398,"[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'Epsilon Motion Pictures', 'id': 1171}, {'name': 'Davis Entertainment', 'id': 1302}, {'name': 'New Regency Pictures', 'id': 10104}, {'name': 'Monarchy Enterprises S.a.r.l.', 'id': 77845}, {'name': 'Atchity Entertainment International (AEI)', 'id': 81134}]",2002-04-26,16872671.0,103.0,Released,,5.7,126.0,51.0,29.5,40.25,0.361214725,-1.7684364196393156
8,Martin Lawrence Live: Runteldat,R,39,70,54.0,40,25.515810600000002,2002,0,0,0,0,1,0,0,0,0,Martin Lawrence Live: Runteldat,3.99,0.527297,[],2002-08-01,19184015.0,113.0,Released,,5.0,1.0,62.0,39.5,50.75,6.39494,0.8436263670964856
9,Star Wars: Episode II - Attack of the Clones,PG,66,57,66.0,54,413.20006420000004,2002,0,0,0,1,0,0,0,0,0,Star Wars: Episode II - Attack of the Clones,159.6,14.072511,"[{'name': 'Lucasfilm', 'id': 1}]",2002-05-15,649398328.0,142.0,Released,A Jedi Shall Not Know Anger. Nor Hatred. Nor Love.,6.4,4074.0,61.5,60.0,60.75,2.5889728333333335,0.6137464298099691
10,Big Fat Liar,PG,42,44,54.0,36,63.58899575,2002,0,0,1,0,1,0,0,0,0,Big Fat Liar,19.95,4.643981,"[{'name': 'Universal Pictures', 'id': 33}]",2002-02-08,52970014.0,88.0,Released,The truth is never overrated,5.6,202.0,49.0,39.0,44.0,3.1874183333333335,0.6862664716638492
11,Men in Black II,PG13,39,45,61.0,49,253.25700799,2002,0,0,0,1,1,0,0,0,0,Men in Black II,186.2,16.775716,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Parkes+MacDonald Image Nation', 'id': 49325}]",2002-07-03,441818803.0,88.0,Released,Same Planet. New Scum.,6.1,3188.0,53.0,44.0,48.5,1.3601343071428573,0.26477848933857656
12,Narc,R,84,79,72.0,70,13.919326470000001,2002,1,0,0,0,0,1,0,0,1,Narc,8.645,5.20644,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Lions Gate Films', 'id': 35}, {'name': 'Cruise/Wagner Productions', 'id': 44}]",2002-01-14,12633747.0,105.0,Released,,6.8,144.0,75.5,77.0,76.25,1.6101013846153849,0.3789210980407446
13,Catch Me If You Can,PG13,96,89,81.0,76,218.927044,2002,1,0,0,0,0,1,0,0,0,Catch Me If You Can,69.16,19.833077,"[{'name': 'Kemp Company', 'id': 367}, {'name': 'Splendid Pictures', 'id': 368}, {'name': 'Parkes/MacDonald Productions', 'id': 11084}]",2002-12-25,352114312.0,141.0,Released,The true story of a real fake.,7.7,3917.0,85.0,86.0,85.5,3.1655153846153845,0.6840956752697944
